15,5
18,19
19,12
21,17
25,25
30,8
34,2
50,20
53,10
60,15
61,5
68,2
70,4
82,21
88,8
89,10
95,17
105,21
111,20
119,10
126,5
137,17
139,1
140,8
144,16
145,15
149,9
153,25
156,4
158,19
164,4
167,11
169,21
178,9
179,2
187,14
189,7
195,4
196,18
201,13
212,5
214,3
220,6
222,4
229,9
230,24
240,14
250,7
255,11
260,17
262,14
265,16
277,22
280,10
283,19
286,4
288,2
298,9
305,21
306,10
308,25
309,16
315,9
317,24
322,23
330,22
334,7
337,8
339,20
341,18
343,13
344,25
346,12
353,25
354,13
359,13
363,20
376,10
378,12
379,4
391,19
399,15
402,17
404,20
406,6
410,22
413,23
419,8
433,19
435,9
436,7
438,5
443,17
444,14
456,21
458,7
460,5
463,11
464,12
467,20
468,4
474,2
479,16
484,1
490,4
491,18
494,13
501,14
503,21
510,20
517,13
519,7
520,3
523,23
525,25
529,24
532,16
533,3
535,2
536,5
537,1
540,19
549,4
552,16
564,20
572,15
581,10
582,21
593,8
594,8
601,20
603,13
605,7
608,19
613,5
615,24
619,6
632,3
639,2
659,20
663,21
666,19
667,19
668,25
672,12
673,20
679,11
692,24
703,1
705,25
715,15
717,9
719,14
721,8
722,4
724,17
729,18
730,20
731,9
734,7
756,9
760,9
761,24
765,19
768,8
774,16
795,20
796,22
800,23
803,15
804,2
812,6
814,22
815,11
820,17
822,20
830,7
841,14
863,6
866,1
870,20
871,1
873,10
887,7
901,6
909,17
911,23
912,1
914,19
916,20
919,23
927,25
929,3
942,13
948,21
955,16
964,24
973,24
979,25
983,2
985,11
990,9
991,4
996,4
1002,21
1005,14
1010,24
1012,25
1014,11
1024,10
1028,6
1030,12
1035,7
1038,12
1039,11
1040,7
1042,4
1045,11
1050,13
1053,9
1060,18
1069,12
1073,11
1076,20
1079,21
1088,19
1090,20
1091,13
1092,14
1101,16
1108,3
1116,7
1120,16
1121,8
1125,20
1141,7
1147,1
1149,8
1166,14
1172,25
1175,18
1186,18
1190,14
1194,14
1199,22
1201,10
1202,12
1208,6
1210,19
1212,14
1222,9
1229,18
1237,3
1243,1
1252,15
1259,17
1260,15
1264,23
1267,16
1268,14
1270,7
1276,2
1279,19
1284,5
1287,8
1291,7
1305,14
1308,14
1310,20
1317,22
1330,20
1331,25
1337,5
1338,24
1341,2
1342,7
1346,1
1349,17
1351,23
1354,15
1355,4
1367,13
1371,15
1372,5
1389,9
1391,18
1392,14
1402,4
1409,10
1417,10
1425,15
1431,1
1433,15
1454,24
1458,3
1461,19
1465,25
1468,16
1473,18
1476,8
1482,12
1484,2
1487,10
1492,10
1500,8
1501,21
1502,12
1514,21
1525,20
1533,8
1534,2
1537,2
1542,16
1543,11
1545,23
1546,11
1549,4
1554,14
1556,24
1563,17
1567,10
1584,7
1590,22
1592,24
1593,10
1599,2
1601,5
1605,15
1608,5
1617,8
1620,12
1624,9
1629,8
1632,12
1635,6
1636,1
1637,17
1640,4
1649,21
1658,11
1660,9
1664,19
1665,19
1667,5
1674,3
1678,5
1681,16
1689,22
1697,13
1704,5
1710,18
1712,23
